LOCATION,GENDER,TIME,MATH,SCIENCE,READING
AUS,BOY,2003,527,525,506
AUS,BOY,2006,527,527,495
AUS,BOY,2009,519,527,496
AUS,BOY,2012,510,524,495
AUS,BOY,2015,497,511,487
AUS,BOY,2018,494,504,487
AUS,GIRL,2003,522,525,545
AUS,GIRL,2006,513,527,532
AUS,GIRL,2009,509,528,533
AUS,GIRL,2012,498,519,530
AUS,GIRL,2015,491,509,519
AUS,GIRL,2018,488,502,519
AUT,BOY,2003,509,490,467
AUT,BOY,2006,517,515,468
AUT,BOY,2009,514,515,527
AUT,BOY,2012,517,510,471
AUT,BOY,2015,510,504,475
AUT,BOY,2018,505,491,471
AUT,GIRL,2003,502,492,514
AUT,GIRL,2006,494,507,513
AUT,GIRL,2009,514,515,527
AUT,GIRL,2012,494,501,508
AUT,GIRL,2015,483,486,495
AUT,GIRL,2018,492,489,499
BEL,BOY,2003,533,509,489
BEL,BOY,2006,524,511,482
BEL,BOY,2009,526,510,493
BEL,BOY,2012,520,506,493
BEL,BOY,2015,514,508,491
BEL,BOY,2018,514,501,482
BEL,GIRL,2003,525,509,526
BEL,GIRL,2006,517,510,522
BEL,GIRL,2009,504,503,520
BEL,GIRL,2012,509,503,525
BEL,GIRL,2015,500,496,507
BEL,GIRL,2018,502,496,504
CAN,BOY,2003,541,527,514
CAN,BOY,2006,534,536,511
CAN,BOY,2009,533,531,507
CAN,BOY,2012,523,527,506
CAN,BOY,2015,520,528,514
CAN,BOY,2018,514,516,506
CAN,GIRL,2003,530,516,546
CAN,GIRL,2006,520,532,543
CAN,GIRL,2009,521,532,542
CAN,GIRL,2012,513,524,541
CAN,GIRL,2015,511,527,540
CAN,GIRL,2018,510,520,535
CZE,BOY,2003,524,526,473
CZE,BOY,2006,514,515,463
CZE,BOY,2009,495,498,456
CZE,BOY,2012,505,509,474
CZE,BOY,2015,496,497,475
CZE,BOY,2018,501,496,474
CZE,GIRL,2003,509,520,504
CZE,GIRL,2006,504,510,509
CZE,GIRL,2009,490,503,504
CZE,GIRL,2012,493,508,513
CZE,GIRL,2015,489,488,501
CZE,GIRL,2018,498,498,507
DNK,BOY,2003,523,484,479
DNK,BOY,2006,518,500,480
DNK,BOY,2009,511,505,480
DNK,BOY,2012,507,504,481
DNK,BOY,2015,516,505,489
DNK,BOY,2018,511,492,486
DNK,GIRL,2003,506,467,505
DNK,GIRL,2006,508,491,509
DNK,GIRL,2009,495,494,509
DNK,GIRL,2012,493,493,512
DNK,GIRL,2015,506,499,511
DNK,GIRL,2018,507,494,516
FIN,BOY,2003,548,545,521
FIN,BOY,2006,554,562,521
FIN,BOY,2009,542,546,508
FIN,BOY,2012,517,537,494
FIN,BOY,2015,507,521,504
FIN,BOY,2018,504,510,495
FIN,GIRL,2003,541,551,565
FIN,GIRL,2006,543,565,572
FIN,GIRL,2009,539,562,563
FIN,GIRL,2012,520,554,5556
FIN,GIRL,2015,515,541,551
FIN,GIRL,2018,510,534,546
FRA,BOY,2003,515,511,476
FRA,BOY,2006,499,497,470
FRA,BOY,2009,505,500,475
FRA,BOY,2012,499,498,483
FRA,BOY,2015,496,496,485
FRA,BOY,2018,499,493,480
FRA,GIRL,2003,507,511,514
FRA,GIRL,2006,492,494,505
FRA,GIRL,2009,489,497,515
FRA,GIRL,2012,491,500,527
FRA,GIRL,2015,490,494,514
FRA,GIRL,2018,492,493,505
DEU,BOY,2003,508,506,471
DEU,BOY,2006,513,519,475
DEU,BOY,2009,520,523,478
DEU,BOY,2012,520,524,486
DEU,BOY,2015,514,514,499
DEU,BOY,2018,503,502,486
DEU,GIRL,2003,499,500,513
DEU,GIRL,2006,494,512,517
DEU,GIRL,2009,505,518,518
DEU,GIRL,2012,507,524,530
DEU,GIRL,2015,498,504,520
DEU,GIRL,2018,496,504,512
GRC,BOY,2003,455,487,453
GRC,BOY,2006,462,468,432
GRC,BOY,2009,473,465,459
GRC,BOY,2012,457,460,452
GRC,BOY,2015,454,451,449
GRC,BOY,2018,452,446,437
GRC,GIRL,2003,436,475,490
GRC,GIRL,2006,457,479,488
GRC,GIRL,2009,459,475,506
GRC,GIRL,2012,449,473,502
GRC,GIRL,2015,454,459,486
GRC,GIRL,2018,451,457,479
HUN,BOY,2003,494,503,467
HUN,BOY,2006,496,507,463
HUN,BOY,2009,496,503,475
HUN,BOY,2012,482,496,468
HUN,BOY,2015,481,478,457
HUN,BOY,2018,486,484,463
HUN,GIRL,2003,486,504,498
HUN,GIRL,2006,486,501,503
HUN,GIRL,2009,484,503,513
HUN,GIRL,2012,473,493,508
HUN,GIRL,2015,473,475,482
HUN,GIRL,2018,477,478,489
ISL,BOY,2003,508,490,464
ISL,BOY,2006,503,488,460
ISL,BOY,2009,508,496,478
ISL,BOY,2012,490,477,457
ISL,BOY,2015,487,472,460
ISL,BOY,2018,490,471,454
ISL,GIRL,2003,523,500,522
ISL,GIRL,2006,508,494,509
ISL,GIRL,2009,505,495,522
ISL,GIRL,2012,496,480,508
ISL,GIRL,2015,489,475,502
ISL,GIRL,2018,500,479,494
IRL,BOY,2003,510,506,501
IRL,BOY,2006,507,508,500
IRL,BOY,2009,491,507,476
IRL,BOY,2012,509,524,509
IRL,BOY,2015,512,508,515
IRL,BOY,2018,503,495,506
IRL,GIRL,2003,495,504,530
IRL,GIRL,2006,496,509,534
IRL,GIRL,2009,483,509,515
IRL,GIRL,2012,494,520,538
IRL,GIRL,2015,495,497,527
IRL,GIRL,2018,497,497,530
ITA,BOY,2003,475,490,455
ITA,BOY,2006,470,477,448
ITA,BOY,2009,490,488,464
ITA,BOY,2012,494,495,471
ITA,BOY,2015,500,489,477
ITA,BOY,2018,494,470,464
ITA,GIRL,2003,457,484,495
ITA,GIRL,2006,453,474,489
ITA,GIRL,2009,475,490,510
ITA,GIRL,2012,476,492,510
ITA,GIRL,2015,480,472,493
ITA,GIRL,2018,479,466,489
JPN,BOY,2003,539,550,487
JPN,BOY,2006,533,533,483
JPN,BOY,2009,534,534,501
JPN,BOY,2012,545,552,527
JPN,BOY,2015,539,545,509
JPN,BOY,2018,532,531,493
JPN,GIRL,2003,530,546,509
JPN,GIRL,2006,513,530,513
JPN,GIRL,2009,524,545,540
JPN,GIRL,2012,527,541,551
JPN,GIRL,2015,525,532,523
JPN,GIRL,2018,522,528,514
KOR,BOY,2003,552,546,525
KOR,BOY,2006,552,521,539
KOR,BOY,2009,548,537,523
KOR,BOY,2012,562,539,525
KOR,BOY,2015,521,511,498
KOR,BOY,2018,528,521,503
KOR,GIRL,2003,528,527,547
KOR,GIRL,2006,543,523,574
KOR,GIRL,2009,544,539,558
KOR,GIRL,2012,544,536,548
KOR,GIRL,2015,528,521,539
KOR,GIRL,2018,524,517,526
LUX,BOY,2003,502,489,463
LUX,BOY,2006,498,491,464
LUX,BOY,2009,499,487,453
LUX,BOY,2012,502,499,473
LUX,BOY,2015,491,487,471
LUX,BOY,2018,487,475,456
LUX,GIRL,2003,485,477,496
LUX,GIRL,2006,482,482,495
LUX,GIRL,2009,479,480,492
LUX,GIRL,2012,477,483,503
LUX,GIRL,2015,480,479,492
LUX,GIRL,2018,480,479,485
MEX,BOY,2003,391,410,389
MEX,BOY,2006,410,413,393
MEX,BOY,2009,425,419,413
MEX,BOY,2012,420,418,411
MEX,BOY,2015,412,420,416
MEX,BOY,2018,415,424,415
MEX,GIRL,2003,380,400,410
MEX,GIRL,2006,401,406,427
MEX,GIRL,2009,412,413,438
MEX,GIRL,2012,406,412,435
MEX,GIRL,2015,404,412,431
MEX,GIRL,2018,403,415,426
NLD,BOY,2003,540,527,503
NLD,BOY,2006,537,528,495
NLD,BOY,2009,534,524,496
NLD,BOY,2012,528,524,498
NLD,BOY,2015,513,511,491
NLD,BOY,2018,520,499,470
NLD,GIRL,2003,535,522,524
NLD,GIRL,2006,524,521,519
NLD,GIRL,2009,517,520,521
